小区名|类型|城市|城区|商圈|地址|年代|均价|采集时间|链接
安贞里|住宅|北京|朝阳|安贞|朝阳-安贞 朝阳安贞路,与北三环中路路口以北约100米..|1988年建成|86506元/㎡|2017-02-19 22:12:09.2777675|http://anzhenliyiqu.fang.com/
安华里|住宅|北京|朝阳|安贞|朝阳-安贞 北三环安贞桥西站木偶剧院东侧柳荫公园北..|1980年建成|85647元/㎡|2017-02-19 22:12:09.5807848|http://anhuali.fang.com/
安贞西里|住宅|北京|朝阳|安贞|朝阳-安贞 朝阳区北三环安贞桥|1988年建成|92665元/㎡|2017-02-19 22:12:09.6357880|http://anzhenxili.fang.com/
胜古南里|住宅|北京|朝阳|安贞|朝阳-安贞 北京朝阳区北三环东路胜古南里|1985年建成|76612元/㎡|2017-02-19 22:12:09.6827906|http://shenggunanli.fang.com/
安华西里|住宅|北京|朝阳|安贞|朝阳-安贞 黄寺大街外馆斜街交接口往西300米附近|1982年建成|87980元/㎡|2017-02-19 22:12:09.7447942|http://anhuaxili.fang.com/
和平街十四区|住宅|北京|朝阳|安贞|朝阳-安贞 和平里东街与和平里北街交叉路口东北角(..|2000年建成|68021元/㎡|2017-02-19 22:12:09.8037976|http://hepingjie14qu.fang.com/
和平街西苑|住宅|北京|朝阳|安贞|朝阳-安贞 和平街西苑5号楼|2000年建成|69676元/㎡|2017-02-19 22:12:09.8778018|http://hepingjiexiyuan.fang.com/
和平西街|住宅|北京|朝阳|安贞|朝阳-安贞 和平西街1号|1998年建成|76010元/㎡|2017-02-19 22:12:09.9508060|http://hepingxijie.fang.com/
胜古中路|住宅|北京|朝阳|安贞|朝阳-安贞 胜古中路一号院|1996年建成|45391元/㎡|2017-02-19 22:12:10.0218100|http://shengguzhonglu.fang.com/
城市出品|住宅|北京|朝阳|安贞|朝阳-安贞 北三环安外胜古南里|2005年建成|78445元/㎡|2017-02-19 22:12:10.1078149|http://chengshichupin.fang.com/
安圣苑|住宅|北京|朝阳|安贞|朝阳-安贞 安定路20号安圣苑,北三环安贞桥东北侧|2000年建成|60696元/㎡|2017-02-19 22:12:10.2018203|http://anshengyuan.fang.com/
西青年沟小区|住宅|北京|朝阳|安贞|朝阳-安贞 和平西街青年沟路|2000年建成|75143元/㎡|2017-02-19 22:12:10.3008260|http://xiqingniangouxiaoqu.fang.com/
国典华园|住宅|北京|朝阳|安贞|朝阳-安贞 朝阳区北三环安贞桥北400米安定路12号|2005年建成|87950元/㎡|2017-02-19 22:12:10.4018318|http://guodianhuayuan.fang.com/
胜古北里|住宅|北京|朝阳|安贞|朝阳-安贞 健安东路和樱花园西街交叉口西南角|1987年建成|62424元/㎡|2017-02-19 22:12:10.4648354|http://shenggubeili.fang.com/
鼓楼外大街|住宅|北京|朝阳|安贞|朝阳-安贞 地铁安华桥站南|2000年建成|70563元/㎡|2017-02-19 22:12:10.5288390|http://gulouwaidajie.fang.com/
皇姑坟|住宅|北京|朝阳|安贞|朝阳-安贞 安贞桥北,和平里和平街皇姑坟小区|2000年建成|73130元/㎡|2017-02-19 22:12:10.5908426|http://huanggufen.fang.com/
胜古园小区|住宅|北京|朝阳|安贞|朝阳-安贞 北三环路安贞桥东北角|1995年建成|78401元/㎡|2017-02-19 22:12:10.6708472|http://shengguyuanxiaoqu.fang.com/
黄寺大街28号院|住宅|北京|朝阳|安贞|朝阳-安贞 黄寺大街28号院|1992年建成|77572元/㎡|2017-02-19 22:12:10.7338508|http://hsdj28hy.fang.com/
